Division,Club,Possession,Player,Best Pos,Sec. Position,Age,Height,Left Foot,Right Foot,Rating,PoM,Minutes,Goals,Mins/Gl,Goals per 90 minutes,xG,NP-xG,xG-OP,xG/90,Conv %,xG/shot,Shot/90,ShT/90,Shots From Outside The Box Per 90 minutes,Shot %,Goals From Outside The Box,Pens,Pen/R,Assists,Asts/90,xA,xA/90,Pas %,Ps A/90,Ch C/90,OP-KP/90,Pr passes/90,Crs A/90,Cr C/90,Cr C/A,OP-Crs A/90,OP-Crs C/90,OP-Cr %,Drb/90,Fouls Against,Off,Poss Lost/90,Poss Won/90,Tck/90,Int/90,Pres A/90,Tck R,Tck A,K Tck,Blk/90,Clr/90,Shts Blckd/90,Fouls Made,Yel,Red cards,Dist/90,Sprints/90,Recurring Injury,Injury Susceptibility,Aer A/90,Hdr %,K Hdrs/90,Clean Sheets,xGP,MLG,Sv %,Svh,Svp,Svt,Goals Conceded,Pens Faced,Pens Saved Ratio,Tgls/90,Tcon/90
First Division,Real Hispalis,0.53,Cucho Hernández,ST (C),AM (RL),27,"5'9""",Reasonable,Very Strong,7.04,1,1447,11,131.5454545,0.7,6.09,6.09,4.91,0.4,19%,0.1068421053,3.5,1.9,1,54%,1,1,100,0,0,1.48,0.1,92%,27.9,0.3,0.4,0.3,0.2,0.2,100,0.2,0.2,100,1.2,20,24,17.9,2.4,0.1,1,1.6,100,1,0,0.2,0.2,0,24,0,0,10.4,6,No recurring injuries,Below Average,5,41,0,0,0,0,0,0,0,0,0,0,0,1.9,0.9
First Division,A. Madrid,0.59,Julián Álvarez,ST (C),AM (RLC),26,"5'7""",Strong,Very Strong,7.07,2,1487,11,135.1818182,0.7,8.07,6.55,2.93,0.5,17%,0.1280952381,3.8,2.2,1.3,57%,2,2,100,0,0,2.31,0.1,88%,36.9,0.2,0.8,1.5,2.7,0.6,22,0.8,0.3,36,0.8,21,16,8.6,3.6,0.5,1.1,2.8,62,13,0,0.2,0.2,0.1,15,1,0,11.8,10.3,No recurring injuries,Below Average,3.6,15,0,0,0,0,0,0,0,0,0,0,0,1.6,1
Second Division,Espanyol,0.57,Roberto Fernández,ST (C),AM (RL),24,"6'1""",Fairly Strong,Very Strong,7.01,2,1471,11,133.7272727,0.7,6.37,6.37,4.63,0.4,20%,0.11375,3.4,1.9,1.3,55%,3,0,0,3,0.2,2.01,0.1,88%,31.3,0.3,0.6,0.4,0.3,0.1,20,0.3,0.1,20,1.3,45,22,16.5,2,0.1,1.2,1,67,3,0,0.2,0.2,0,21,1,0,11.1,6.6,No recurring injuries,Average,6.8,33,0,0,0,0,0,0,0,0,0,0,0,1.2,1
Serie BKT,Hellas Verona,0.5,Amin Sarr,ST (C),AM (RL),25,"6'2""",Reasonable,Very Strong,7.5,0,1163,10,116.3,0.8,3.3,3.3,6.7,0.3,31%,0.103125,2.5,1.4,0.2,56%,0,0,0,5,0.4,1.3,0.1,70%,22.4,0,0.3,0.3,0.2,0.2,100,0.2,0.2,100,0,23,0,4.6,0.5,0.7,0.1,0.5,53,17,0,0,0,0,15,0,0,2.3,1.1,No recurring injuries,Very Low,1.4,50,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0.3
Serie A,Blu-neri,0.5,Lautaro Martínez,ST (C),,29,"5'9""",Fairly Strong,Very Strong,7.09,1,1334,10,133.4,0.7,8.33,8.33,1.67,0.6,14%,0.1125675676,5,2.8,1.3,57%,1,0,0,0,0,0.32,0,87%,30.4,0,1.1,1.5,0.9,0.5,53,0.9,0.5,54,1,28,11,10.3,2.4,0.3,0.7,1.6,67,6,0,0,0,0,17,2,1,11.3,8.6,No recurring injuries,Below Average,6,24,0.1,0,0,0,0,0,0,0,0,0,0,1.9,0.9
Sky Bet Championship,Swansea,0.48,Žan Vipotnik,ST (C),,24,"6'1""",Reasonable,Very Strong,6.89,0,1681,10,168.1,0.5,6.67,5.05,3.33,0.4,29%,0.1905714286,1.9,1.3,0.4,69%,0,5,60,3,0.2,3.03,0.2,90%,25.9,0.3,1.4,1,0.3,0,0,0.3,0,0,0.4,41,7,20.3,2.6,0.3,0.6,1.6,83,6,0,0.1,0.4,0,13,0,0,10.7,6.5,No recurring injuries,Average,8.5,40,0.1,0,0,0,0,0,0,0,0,0,0,1.3,1
Premier League,FC Porto,0.57,Samu Aghehowa,ST (C),,22,"6'4""",Fairly Strong,Very Strong,7.17,3,1589,10,158.9,0.6,6.55,6.55,3.45,0.4,14%,0.09225352113,4,2.2,1.4,54%,2,3,100,1,0.1,1.24,0.1,88%,37.6,0.2,1.3,1.6,0.7,0.3,50,0.7,0.3,50,0.4,20,10,12.2,2.7,0.3,0.9,1.8,86,7,0,0.1,0.1,0,9,1,0,11.2,7.4,No recurring injuries,Below Average,5.8,45,0.2,0,0,0,0,0,0,0,0,0,0,1.9,0.8
Premier League,Newcastle,0.54,Gonçalo Ramos,ST (C),,25,"6'1""",Fairly Strong,Very Strong,6.99,3,1487,10,148.7,0.6,7.78,7.78,2.22,0.5,24%,0.1897560976,2.5,1.5,0.3,59%,0,0,0,5,0.3,1.97,0.1,91%,30.3,0.4,1.2,0.7,0.2,0.1,33,0.2,0.1,33,0.7,12,6,6.2,1.2,0.2,0.3,1.1,80,5,0,0,0,0,6,0,0,11.1,5.7,No recurring injuries,Below Average,5,28,0.2,0,0,0,0,0,0,0,0,0,0,2,0.9
Sky Bet Championship,Norwich,0.56,Jovon Makama,ST (C),"M (R), AM (L)",22,"6'5""",Weak,Very Strong,6.9,1,1480,10,148,0.6,6.03,6.03,3.97,0.4,17%,0.1005,3.6,1.8,1.2,50%,1,0,0,0,0,0.86,0.1,88%,28.4,0.1,0.9,0.8,0.4,0.2,50,0.4,0.2,50,0.9,29,10,19.4,2.1,0.1,0.7,1.1,50,4,0,0.1,0.3,0,16,0,0,11,6.6,No recurring injuries,Below Average,6.5,45,0.2,0,0,0,0,0,0,0,0,0,0,1.1,1
Premier League,Brighton,0.51,Ivan Toney,ST (C),,30,"6'1""",Reasonable,Very Strong,6.88,2,1291,10,129.1,0.7,9.89,7.58,0.11,0.7,23%,0.2247727273,3.1,1.7,0.8,55%,0,3,33,2,0.1,1.23,0.1,88%,30.4,0.3,0.8,1.3,0.3,0.1,25,0.3,0.1,25,0.5,13,9,5.5,3.1,0.3,1.3,3.8,42,12,1,0.1,0.3,0.1,15,3,0,11.8,9.1,No recurring injuries,Below Average,5.9,36,0.1,0,0,1,0,0,0,0,0,0,0,1.6,2.7
