Division,Club,Possession,Player,Best Pos,Sec. Position,Age,Height,Left Foot,Right Foot,Rating,PoM,Minutes,Goals,Mins/Gl,Goals per 90 minutes,xG,NP-xG,xG-OP,xG/90,Conv %,xG/shot,Shot/90,ShT/90,Shots From Outside The Box Per 90 minutes,Shot %,Goals From Outside The Box,Pens,Pen/R,Assists,Asts/90,xA,xA/90,Pas %,Ps A/90,Ch C/90,OP-KP/90,Pr passes/90,Crs A/90,Cr C/90,Cr C/A,OP-Crs A/90,OP-Crs C/90,OP-Cr %,Drb/90,Fouls Against,Off,Poss Lost/90,Poss Won/90,Tck/90,Int/90,Pres A/90,Tck R,Tck A,K Tck,Blk/90,Clr/90,Shts Blckd/90,Fouls Made,Yel,Red cards,Dist/90,Sprints/90,Recurring Injury,Injury Susceptibility,Aer A/90,Hdr %,K Hdrs/90,Clean Sheets,xGP,MLG,Sv %,Svh,Svp,Svt,Goals Conceded,Pens Faced,Pens Saved Ratio,Tgls/90,Tcon/90
Bundesliga 2,Holstein Kiel,0.43,Phil Harres,ST (C),,24,"6'4""",Reasonable,Very Strong,6.74,2,1117,5,223.4,0.4,4.78,3.97,0.22,0.4,10%,0.09958333333,3.9,1.7,1.3,44%,0,4,75,0,0,0.19,0,87%,26,0.2,1,0.6,0.2,0,0,0.2,0,0,0.7,25,12,20.2,1.8,0.1,0.8,1.5,100,1,0,0.2,0.4,0,12,1,0,11.1,8.9,No recurring injuries,Below Average,9,34,0.1,0,0,0,0,0,0,0,0,0,0,0.7,1.3
Eredivisie,Fortuna Sittard,0.56,Sylla Sow,ST (C),,30,"6'0""",Weak,Very Strong,6.84,1,1186,5,237.2,0.4,5.13,5.13,-0.13,0.4,12%,0.1193023256,3.3,1.8,1.2,56%,0,1,100,0,0,0.14,0,90%,26,0.2,1.1,1.1,0.5,0.1,16,0.5,0.1,17,0.5,24,4,15.7,2.4,0.1,0.6,1.3,25,4,0,0.2,0.2,0,5,0,0,10.2,5.1,No recurring injuries,Below Average,8,25,0,0,0,1,0,0,0,0,0,0,0,1.2,1
First Division,Barcelona,0.61,Ferran Torres,ST (C),AM (R),26,"6'0""",Fairly Strong,Very Strong,6.81,0,1129,5,225.8,0.4,6.26,6.26,-1.26,0.5,9%,0.1098245614,4.5,2.3,1.7,51%,5,0,0,0,0,1.6,0.1,89%,29.8,0.4,1.7,1.9,0.9,0.2,27,0.9,0.2,27,1.1,11,12,11.7,2.9,0.3,1.1,3.3,57,7,1,0.2,0.3,0.1,13,1,0,11.1,8.8,No recurring injuries,Above Average,5,35,0.1,0,0,0,0,0,0,0,0,0,0,1.6,0.8
Ligue 2 BKT,Angers SCO,0.60,Lyle Foster,ST (C),AM (L),26,"6'1""",Fairly Strong,Very Strong,6.83,1,1199,5,239.8,0.4,5.31,5.31,-0.31,0.4,10%,0.1041176471,3.8,2.1,1.4,55%,2,0,0,0,0,1.71,0.1,89%,26.2,0,0.6,0.5,0.4,0.2,60,0.4,0.2,60,0.8,26,8,17.9,3.1,0.2,0.7,1.6,100,3,0,0.2,0.4,0,8,0,0,9.9,7.7,No recurring injuries,Below Average,8,39,0.1,0,0,0,0,0,0,0,0,0,0,1.6,0.8
Eredivisie,NAC Breda,0.33,Thomas Buitink,ST (C),AM (RL),26,"5'9""",Weak,Very Strong,6.76,0,1191,5,238.2,0.4,3.63,3.63,1.37,0.3,18%,0.1296428571,2.1,1,0.8,46%,0,0,0,1,0.1,1.26,0.1,91%,26.6,0.4,1.1,0.9,0.4,0.2,60,0.4,0.2,60,0.8,28,4,27.4,1.1,0.5,0.6,1.7,100,7,0,0.2,0.2,0,12,1,0,10.1,4.6,No recurring injuries,Below Average,7.4,22,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1.5
Ligue 1 McDonald's,RC Lens,0.48,Florian Thauvin,AM (RC),M (R),33,"5'11""",Very Strong,Reasonable,6.96,1,1517,5,303.4,0.3,3.77,3.77,1.23,0.2,12%,0.0876744186,2.6,1.1,1.2,44%,1,0,0,2,0.1,3.26,0.2,87%,52.4,0.3,2.2,4.7,4.1,0.8,18,2.4,0.5,23,3.1,24,13,16.7,3.8,1.5,2.1,8.1,78,32,1,0.2,0.6,0,19,0,0,12,15.1,No recurring injuries,Below Average,2.9,33,0.1,0,0,1,0,0,0,0,0,0,0,0.9,0.8
Eredivisie,Feyenoord,0.65,Sem Steijn,AM (C),,25,"5'8""",Reasonable,Very Strong,6.81,0,1525,5,305,0.3,5.13,5.13,-0.13,0.3,12%,0.1251219512,2.4,0.7,0.8,29%,1,1,100,2,0.1,3.24,0.2,88%,47.8,0.4,2.2,2.8,5.1,0.6,12,1,0.2,24,0.6,11,4,14.2,12.5,0.4,1.1,3.7,40,15,1,0.1,0.1,0,9,0,0,12.1,11.1,No recurring injuries,Below Average,2.5,14,0.1,0,0,0,0,0,0,0,0,0,0,1.4,0.9
Jupiler Pro League,RSC Anderlecht,0.58,Tristan Degreef,AM (R),AM (C),21,"5'10""",Fairly Strong,Very Strong,7.1,3,1381,5,276.2,0.3,2.61,2.61,2.39,0.2,17%,0.09,1.9,0.8,0.9,41%,2,0,0,2,0.1,2.67,0.2,90%,49.4,0.5,2.2,4,5.1,0.8,16,3.3,0.5,14,3.8,9,9,15.9,5.7,1.4,2.7,9.1,73,30,0,0.5,0.5,0,14,0,0,12.5,16.6,No recurring injuries,Average,3.2,31,0,0,0,0,0,0,0,0,0,0,0,1.7,0.8
Jupiler Pro League,Cercle Brugge,0.50,Kaj Sierhuis,ST (C),,28,"5'11""",Weak,Very Strong,6.76,0,1012,5,202.4,0.4,2.53,2.53,2.47,0.2,19%,0.0937037037,2.4,1.2,1,48%,1,1,100,1,0.1,0.38,0,89%,31.4,0.2,0.3,0.2,0.3,0.1,33,0.3,0.1,33,1.1,17,10,21.9,1.8,0.1,1.4,0.6,50,2,0,0.4,0.4,0,10,0,0,10.9,7.2,No recurring injuries,High,8.2,33,0,0,0,0,0,0,0,0,0,0,0,0.7,1.2
Bundesliga,Eintracht Frankfurt,0.46,Can Uzun,M/AM (C),AM (L),21,"6'1""",Fairly Strong,Very Strong,6.61,0,1663,5,332.6,0.3,3.23,3.23,1.77,0.2,13%,0.08075,2.2,1,0.9,45%,1,1,100,2,0.1,4.43,0.2,0%,0,0.4,0.1,0,0,0,0,0,0,0,0,11,0,11.8,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No recurring injuries,Above Average,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1
Eredivisie,Fortuna Sittard,0.56,Jasper Dahlhaus,AM (R),"WB (RL), M (L)",25,"5'9""",Fairly Strong,Very Strong,6.92,2,1165,5,233,0.4,1.42,1.42,3.58,0.1,28%,0.07888888889,1.4,0.8,0.7,56%,0,0,0,2,0.2,2.92,0.2,81%,41.9,0.2,1.4,3,4.8,1.2,25,4.4,1.1,25,3.7,14,4,16.8,6.3,2,1.2,9.6,90,29,0,0.3,0.5,0.1,13,0,0,12.2,17.5,No recurring injuries,Low,3.4,18,0,0,0,0,0,0,0,0,0,0,0,1.1,0.9
Ligue 1 McDonald's,LOSC,0.57,Hákon Arnar Haraldsson,AM (C),,23,"5'11""",Fairly Strong,Very Strong,7.12,0,1420,5,284,0.3,5.56,5.56,-0.56,0.4,13%,0.139,2.5,1,0.8,40%,0,0,0,3,0.2,4.26,0.3,88%,49.2,0.4,2.1,3,8.4,1.6,19,1.2,0.4,32,1.5,8,6,12.9,11.5,1.3,1.6,6,87,23,1,0.2,0.4,0.1,7,0,0,13.4,14.2,No recurring injuries,Average,2.7,29,0,0,0,0,0,0,0,0,0,0,0,1.6,1.1
Eredivisie,Sparta Rotterdam,0.46,Tobias Lauritsen,ST (C),,29,"6'4""",Reasonable,Very Strong,7.08,1,1045,5,209,0.4,4.59,4.59,0.41,0.4,13%,0.1207894737,3.3,1.5,1.2,45%,0,1,100,1,0.1,0.96,0.1,89%,27.1,0,0.6,0.4,0.3,0,0,0.3,0,0,0.7,15,9,18.2,2.2,0.3,0.7,1.9,100,3,0,0.3,0,0,10,0,1,10.2,6.3,No recurring injuries,Average,7.8,48,0.2,0,0,0,0,0,0,0,0,0,0,1.3,1.1
Premier League,Santa Clara,0.54,João Costa,ST (C),,26,"6'1""",Very Weak,Very Weak,6.64,0,1109,5,221.8,0.4,3.59,3.59,1.41,0.3,16%,0.1158064516,2.5,0.7,0.9,29%,0,0,0,0,0,0.65,0.1,82%,25.2,0.1,0.6,0.5,0.2,0,0,0.2,0,0,0.4,21,8,24.2,2.6,0.2,0.6,1.3,40,5,0,0.1,0.2,0,13,0,0,10.5,9.3,No recurring injuries,Below Average,7.5,14,0.2,0,0,0,0,0,0,0,0,0,0,1.1,1.1
First Division,Cádiz,0.5,García Pascual,ST (C),,24,"6'3""",Weak,Very Strong,6.79,0,1125,5,225,0.4,5.58,5.58,-0.58,0.4,12%,0.1328571429,3.4,1.4,0.9,43%,1,0,0,0,0,1,0.1,90%,33.1,0.4,1.2,1.1,0.6,0.2,37,0.6,0.2,38,0.3,19,4,19.1,2.2,0.3,0.8,2.2,67,6,0,0.2,0.2,0,7,1,0,10.9,8.4,No recurring injuries,Below Average,8.6,46,0.3,0,0,0,0,0,0,0,0,0,0,1.1,1.4
Ligue 2 BKT,FC Metz,0.59,Rémi Himbert,ST (C),AM (R),18,"5'10""",Weak,Very Strong,6.82,0,1009,5,201.8,0.4,2.75,2.75,2.25,0.2,13%,0.07236842105,3.4,2,1.5,58%,2,0,0,0,0,1.49,0.1,90%,30,0.3,0.8,0.6,0.2,0,0,0.2,0,0,0.9,14,10,13.4,2.3,0.1,1,1.2,50,2,0,0.1,0.4,0,10,0,0,10.1,8,No recurring injuries,Above Average,8.6,35,0,0,0,0,0,0,0,0,0,0,0,1.2,0.5
Jupiler Pro League,RWDM Brussels,0.50,Gaëtan Robail,AM (L),,32,"6'0""",Reasonable,Very Strong,7.19,3,1313,5,262.6,0.3,2.55,2.55,2.45,0.2,21%,0.10625,1.6,0.5,0.3,29%,1,0,0,4,0.3,2.97,0.2,89%,42,0.3,1.8,3.2,7.4,1.4,19,4,0.8,19,3.6,12,4,18.4,5.3,1.1,2.1,8.8,64,25,1,0.1,0.6,0,13,1,0,11.7,13.8,No recurring injuries,Average,4.1,32,0.1,0,0,0,0,0,0,0,0,0,0,1.2,1
Premier League,VTSC,0.46,Noah Saviolo,AM (L),M (L),22,"5'11""",Very Weak,Very Weak,7.02,1,1355,5,271,0.3,2.4,2.4,2.6,0.2,23%,0.1090909091,1.5,0.6,0.5,41%,0,0,0,0,0,0.31,0,90%,43.8,0.1,2.2,4.2,3.3,0.9,26,3.3,0.9,27,5.8,16,3,19.5,3,1.5,2.2,9.4,76,29,1,0.1,0.7,0,15,3,0,11.7,12.5,No recurring injuries,Above Average,3.5,15,0,0,0,0,0,0,0,0,0,0,0,1.9,1.4
Second Division,R. Santander,0.51,Juan Carlos Arana,ST (C),,26,"6'0""",Reasonable,Very Strong,6.86,1,1035,5,207,0.4,3.87,3.87,1.13,0.3,19%,0.1488461538,2.3,1,0.8,42%,0,1,100,0,0,0.51,0,88%,30.7,0,1.3,0.9,0.6,0,0,0.6,0,0,0.6,20,5,15.2,1.5,0.3,0.3,1.2,75,4,0,0,0.1,0,8,0,0,10.5,6.1,No recurring injuries,High,6.7,34,0.2,0,0,0,0,0,0,0,0,0,0,1,1.2
Bundesliga 2,Fortuna Düsseldorf,0.5,Jykese Fields,ST (C),AM (R),19,"6'2""",Reasonable,Very Strong,6.84,0,1164,5,232.8,0.4,4.48,4.48,0.52,0.3,15%,0.1357575758,2.6,1.1,0.5,42%,1,1,100,0,0,0.22,0,89%,24.7,0.1,0.9,0.6,0.2,0,0,0.2,0,0,1,26,9,28.2,1.2,0.1,0.9,0.9,33,3,0,0.1,0.2,0,10,0,0,9.2,4.6,No recurring injuries,Average,8,37,0.2,0,0,0,0,0,0,0,0,0,0,0.6,1.2
Bundesliga,Eintracht Frankfurt,0.46,Saïd El Mala,AM (L),"M (L), AM (RC)",20,"6'2""",Reasonable,Very Strong,7.02,0,1174,5,234.8,0.4,2.56,2.56,2.44,0.2,18%,0.09142857143,2.1,0.6,0.6,29%,1,0,0,2,0.2,2.8,0.2,89%,47.8,0.2,1.6,4.2,2.8,0.6,21,2.8,0.6,22,3.8,20,4,17,4.6,1.5,2.4,9.9,76,25,1,0.4,0.4,0,17,0,0,12.1,14.5,No recurring injuries,Average,4,52,0.1,0,0,0,0,0,0,0,0,0,0,1.1,1.1
First Division,Sevilla,0.43,Isaac Romero,ST (C),,26,"6'0""",Very Strong,Reasonable,6.93,0,1198,5,239.6,0.4,4.51,4.51,0.49,0.3,9%,0.08509433962,4,1.5,1.4,38%,3,1,100,2,0.2,2.69,0.2,90%,29.6,0.2,1.1,1.1,0.5,0.2,28,0.5,0.2,29,0.6,20,10,18,1.7,0.2,0.5,1.4,75,4,0,0,0.2,0,10,0,0,11,7.4,No recurring injuries,Below Average,5.7,34,0.2,0,0,0,0,0,0,0,0,0,0,1.3,1.4
Bundesliga,FC Bayern München,0.5,Luis Díaz,AM (L),"M (L), AM (R)",29,"5'11""",Fairly Strong,Very Strong,7.17,0,1265,5,253,0.4,3.89,3.89,1.11,0.3,14%,0.1051351351,2.6,1.4,1.1,54%,2,0,0,1,0.1,2.3,0.2,88%,57.3,0.6,1.5,5.5,3.1,1.1,34,3.1,1.1,35,4.7,16,9,12.1,6.1,1.2,2.7,11.1,68,25,0,0.6,0.5,0,19,0,0,13.3,20,No recurring injuries,Below Average,2.8,49,0,0,0,0,0,0,0,0,0,0,0,1.8,0.8
First Division,Getafe,0.38,Martín Satriano,ST (C),,25,"6'2""",Reasonable,Very Strong,6.86,2,1098,5,219.6,0.4,5.48,5.48,-0.48,0.4,12%,0.1304761905,3.4,1.5,0.8,43%,1,0,0,1,0.1,0.88,0.1,89%,31.3,0.2,1.1,1.1,0.2,0,0,0.2,0,0,0.7,19,11,25.7,1.6,0.2,0.9,2.2,67,3,0,0.1,0.1,0.1,14,0,0,10.7,8.9,No recurring injuries,Average,8.7,45,0.2,0,0,0,0,0,0,0,0,0,0,0.8,1.5
Bundesliga 2,Hertha BSC,0.54,Fabian Reese,AM (L),M (RL),29,"6'2""",Fairly Strong,Very Strong,7.29,3,1095,5,219,0.4,3.52,2.71,1.48,0.3,15%,0.1066666667,2.7,1.2,0.9,42%,0,3,67,1,0.1,2.06,0.2,86%,53,0.6,2.1,6.7,2.5,0.8,33,2.5,0.8,33,2.9,16,3,15.4,5.2,1.7,2.1,10.6,78,27,0,0.3,0.5,0,15,1,0,11.2,17.1,No recurring injuries,Average,3.9,58,0.2,0,0,0,0,0,0,0,0,0,0,1.3,1
Second Division,S. Gijón,0.5,Juan Otero,AM (R),M (R),31,"5'10""",Weak,Very Strong,7.05,3,1306,5,261.2,0.3,1.81,1.81,3.19,0.1,17%,0.0624137931,2,0.9,0.9,45%,1,1,100,3,0.2,3.09,0.2,89%,51.8,0.3,2,3.2,3,0.7,23,3,0.7,23,3,16,14,16.1,4.8,0.8,1.8,8.4,55,22,0,0.1,0.2,0,24,1,0,11.5,17,No recurring injuries,Average,3.4,26,0,0,0,0,0,0,0,0,0,0,0,1.6,0.9
Second Division,Valladolid,0.54,Juanmi Latasa,ST (C),,25,"6'4""",Very Strong,Reasonable,6.99,1,1172,5,234.4,0.4,7.32,7.32,-2.32,0.6,8%,0.1180645161,4.8,1.9,1.5,40%,2,1,100,3,0.2,1.86,0.1,86%,26.2,0.3,1.3,0.9,0.5,0.2,28,0.5,0.2,29,0.3,23,5,15.4,2.6,0.3,0.6,1.8,100,4,0,0,0.1,0,9,0,0,10.5,8,No recurring injuries,Above Average,8.9,40,0.1,0,0,0,0,0,0,0,0,0,0,1.5,1.1
Serie A,Celesti,0.5,Kenneth Taylor,M (C),"DM, M/AM (L)",24,"6'0""",Very Strong,Fairly Strong,6.63,0,1821,4,455.25,0.2,1.87,1.87,2.13,0.1,25%,0.116875,0.8,0.2,0.2,31%,0,0,0,1,0,3.55,0.2,92%,8.2,0.4,0.3,0.7,6,1.2,19,0.3,0.1,29,0.4,10,0,14.2,8.9,0.1,0.6,1.4,60,5,0,0,0,0,1,1,0,2,2.3,No recurring injuries,Very Low,0.3,29,0,0,0,0,0,0,0,0,0,0,0,1.1,1.4
Bundesliga,Bayer 04 Leverkusen,0.60,Eliesse Ben Seghir,AM (L),M (L),21,"5'10""",Fairly Strong,Very Strong,6.89,1,1208,4,302,0.3,1.95,1.95,2.05,0.1,18%,0.08863636364,1.6,0.8,0.9,50%,5,1,100,2,0.1,1.4,0.1,88%,49.9,0.1,1.6,3.9,2.7,0.6,22,2.7,0.6,22,3.7,9,6,18.4,4.9,1.4,2.5,8.4,70,27,0,0.1,0.4,0,16,1,0,11.5,13.8,No recurring injuries,Below Average,2.5,15,0,0,0,0,0,0,0,0,0,0,0,1.9,0.7
Eredivisie,Ajax,0.60,Mika Godts,AM (L),AM (C),21,"5'9""",Reasonable,Very Strong,7.13,1,1417,4,354.25,0.3,3.66,3.66,0.34,0.2,12%,0.1076470588,2.2,0.8,0.5,35%,0,0,0,3,0.2,3.26,0.2,90%,55.3,0.4,1.9,4.2,5.2,0.9,17,4.5,0.8,17,2.9,18,6,12.5,6.1,1.5,1.9,9.4,80,30,0,0.3,0.4,0,19,1,0,11.4,14.8,No recurring injuries,Above Average,3,19,0,0,0,0,0,0,0,0,0,0,0,1.8,0.9
Sky Bet Championship,Stockport,0.48,Harry Howell,AM (R),"M (RC), ST (C)",18,"5'11""",Very Strong,Weak,6.86,0,1115,4,278.75,0.3,2.35,2.35,1.65,0.2,17%,0.102173913,1.9,0.7,0.4,39%,0,1,100,3,0.2,1.68,0.1,88%,41.4,0.2,1.8,2.7,1.1,0.6,57,1.1,0.6,57,1.7,7,1,16.2,11.6,0.6,1.6,5.3,89,9,1,0.1,0.5,0,6,0,0,12.8,13,No recurring injuries,Below Average,2.7,18,0,0,0,0,0,0,0,0,0,0,0,1.5,1.4
Eredivisie,FC Utrecht,0.55,Adrian Blake,AM (L),,21,"5'8""",Weak,Very Strong,7.23,4,1072,4,268,0.3,2.59,2.59,1.41,0.2,15%,0.09592592593,2.3,0.9,0.8,41%,0,0,0,5,0.4,3.71,0.3,89%,43.5,0.5,2.1,3.5,3.9,0.9,23,3,0.8,28,4.1,10,2,17,6,1.8,2.1,8.5,91,23,0,0.1,0.4,0,8,0,0,12.2,14.5,No recurring injuries,Below Average,3.8,56,0.1,0,0,0,0,0,0,0,0,0,0,1.4,0.8
Ligue 1 McDonald's,LOSC,0.57,Félix Correia,AM (L),M (R),25,"5'10""",Fairly Strong,Very Strong,6.93,0,1038,4,259.5,0.3,1.9,1.9,2.1,0.2,20%,0.095,1.7,0.8,0.5,45%,1,0,0,3,0.3,1.07,0.1,90%,56.4,0.1,2.6,4.9,4.8,1.6,32,4.8,1.6,33,4.7,11,8,18.5,6.5,2,2,9.9,92,25,0,0.1,0.3,0,15,1,0,11.9,15.4,No recurring injuries,Average,2.2,20,0,0,0,0,0,0,0,0,0,0,0,1.7,1.5
Sky Bet Championship,Hull,0.39,Mohamed Belloumi,AM (R),,24,"5'9""",Very Strong,Reasonable,7.06,2,1284,4,321,0.3,3.46,3.46,0.54,0.2,11%,0.09351351351,2.6,1.3,1.2,49%,4,0,0,4,0.3,2.2,0.2,86%,48.2,0.4,2.7,4.1,3.3,0.4,12,3.3,0.4,13,3.5,15,18,18.2,4.4,1.7,1.4,10.2,67,36,1,0.3,0.4,0,30,0,0,11.7,15.8,No recurring injuries,Low,2.7,29,0,0,0,0,0,0,0,0,0,0,0,1.1,1.4
Premier League,Man City,0.56,Phil Foden,AM (LC),AM (R),26,"5'7""",Very Strong,Reasonable,7.34,2,1472,4,368,0.2,6.85,6.85,-2.85,0.4,8%,0.1317307692,3.2,1.3,1.2,40%,0,0,0,7,0.4,5.5,0.3,89%,50.1,1.1,3.4,4.6,2.9,1,33,1.4,0.7,48,2.4,27,7,8.9,5.1,1.2,1.5,8.7,69,29,2,0.3,0.2,0.2,12,0,0,12.9,19.6,No recurring injuries,Below Average,0.9,21,0,0,0,0,0,0,0,0,0,0,0,2.9,0.9
Ligue 1 McDonald's,LOSC,0.57,Matías Fernández-Pardo,AM (L),AM (R),21,"6'0""",Very Weak,Very Strong,6.87,1,1224,4,306,0.3,4.41,4.41,-0.41,0.3,14%,0.1575,2.1,0.9,0.7,43%,0,0,0,1,0.1,2.43,0.2,88%,55.6,0.4,2.6,5.5,5.1,1,18,4.6,1,21,3.5,10,10,17.2,5.7,1.6,1.7,11.5,76,29,0,0.1,0.1,0.1,13,1,0,12,14.9,No recurring injuries,Average,3.2,34,0,0,0,0,0,0,0,0,0,0,0,1.5,1.1
First Division,Valencia,0.49,Filip Ugrinić,M (C),,27,"6'0""",Fairly Strong,Very Strong,6.87,1,1407,4,351.75,0.3,3.19,3.19,0.81,0.2,13%,0.1063333333,1.9,0.6,0.8,33%,0,0,0,1,0.1,2.21,0.1,89%,44.9,0.1,1.7,3.8,2.2,0.4,17,1,0.2,20,1,6,6,21,9.5,0.5,1.4,5.7,73,11,0,0.3,0.1,0,10,0,0,11.6,11.5,No recurring injuries,Below Average,3,43,0.1,0,0,0,0,0,0,0,0,0,0,1.2,1.2
Sky Bet Championship,Burnley,0.53,Loum Tchaouna,AM (R),"M (RL), AM (C)",23,"5'11""",Very Strong,Reasonable,7.04,2,1616,4,404,0.2,6.28,6.28,-2.28,0.3,8%,0.1231372549,2.8,0.9,1,31%,1,0,0,0,0,1.96,0.1,89%,47,0.3,2.2,5,3.5,0.9,27,3.5,0.9,27,2.8,21,9,14.1,4.7,1.7,1.6,9.5,74,42,0,0.2,0.5,0,16,0,0,12.2,15.5,No recurring injuries,Low,2.9,46,0.1,0,0,0,0,0,0,0,0,0,0,1.4,0.8
Jupiler Pro League,RWDM Brussels,0.50,Pjotr Kestens,AM (L),AM (R),25,"5'8""",Very Strong,Fairly Strong,7.04,1,1177,4,294.25,0.3,1.82,1.82,2.18,0.1,25%,0.11375,1.2,0.8,0.2,69%,0,1,100,1,0.1,1.68,0.1,90%,44,0.3,1.8,3.1,4.1,0.8,20,4.1,0.8,20,3.4,11,8,18.2,5.7,1.3,2.2,8.2,85,20,0,0.1,0.6,0,20,0,0,11.6,16.4,No recurring injuries,Below Average,4.4,35,0,0,0,0,0,0,0,0,0,0,0,1.2,1
Premier League,FC Porto,0.57,Pepê,AM (R),M (LC),29,"5'9""",Reasonable,Very Strong,6.99,1,1409,4,352.25,0.3,4.11,4.11,-0.11,0.3,11%,0.1141666667,2.3,1.4,0.8,61%,1,0,0,2,0.1,2.87,0.2,89%,65,0.5,1.9,5.4,2.9,0.8,28,2.9,0.8,29,2.9,14,13,13.3,4.8,2.2,1.9,9.8,81,43,0,0.3,0.2,0.1,19,0,0,12,21.1,No recurring injuries,Below Average,3.1,12,0.1,0,0,0,0,0,0,0,0,0,0,1.7,0.8
First Division,Barcelona,0.61,Lamine Yamal,AM (R),,19,"5'11""",Very Strong,Reasonable,7.34,2,1499,4,374.75,0.2,6.76,5.99,-2.76,0.4,6%,0.09521126761,4.3,1.9,1.8,44%,4,1,100,4,0.2,5.04,0.3,86%,59.1,0.7,2.6,6.4,7.3,1.8,24,3.6,0.8,23,3.7,15,10,8.9,8.3,1.3,2.8,9.8,78,27,0,0.4,0.5,0.1,13,0,0,12.4,16.8,No recurring injuries,Below Average,3.5,26,0.1,0,0,0,0,0,0,0,0,0,0,1.7,0.9
Jupiler Pro League,RSC Anderlecht,0.58,César Huerta,AM (L),AM (R),25,"5'8""",Reasonable,Very Strong,7.16,1,1943,4,485.75,0.2,5.95,5.95,-1.95,0.3,8%,0.1166666667,2.4,1.3,0.7,53%,3,0,0,5,0.2,4.12,0.2,88%,44,0.3,1.5,3,2.9,0.7,25,2.9,0.7,25,2.7,16,7,17,5,1.3,2,8.9,73,40,0,0.2,0.6,0,23,0,0,11.6,15.6,No recurring injuries,Above Average,5,48,0.1,0,0,0,0,0,0,0,0,0,0,1.5,0.9
Sky Bet Championship,Sheffield United,0.52,Chiedozie Ogbene,AM (R),M (R),29,"5'10""",Weak,Very Strong,6.98,3,1558,4,389.5,0.2,2.93,2.93,1.07,0.2,14%,0.1046428571,1.6,0.6,0.5,36%,0,0,0,1,0.1,2.12,0.1,87%,42.3,0.2,2.1,3.3,4.7,0.8,17,4.7,0.8,17,5.9,20,6,20.4,4.7,1.8,2.3,9.5,79,39,0,0.2,0.8,0,15,0,0,12.1,15.8,No recurring injuries,Low,3.2,44,0,0,0,0,0,0,0,0,0,0,0,1.4,1.5
Bundesliga,1. FC Nürnberg,0.5,Tim Janisch,WB (R),"D (R), AM (L)",21,"5'10""",Reasonable,Very Strong,6.95,1,1308,4,327,0.3,2.48,2.48,1.52,0.2,24%,0.1458823529,1.2,0.3,0.2,29%,0,0,0,1,0.1,1.21,0.1,91%,46.1,0.2,1.7,4.5,3.2,0.7,21,3.2,0.7,22,3.7,8,9,15.6,6,1.2,2.3,9.2,61,28,0,0.1,0.3,0.1,23,2,0,11.7,17.1,No recurring injuries,Below Average,3.8,40,0,0,0,0,0,0,0,0,0,0,0,1.7,1.4
Serie A,Empoli FC,0.5,Emmanuel Gyasi,WB/M (R),"AM (RL), ST (C)",32,"6'0""",Reasonable,Very Strong,6.97,0,1326,4,331.5,0.3,2.48,2.48,1.52,0.2,17%,0.107826087,1.6,0.9,0.2,57%,0,0,0,1,0.1,0.73,0,89%,39.4,0.1,1.4,2.6,3.1,1.1,35,3.1,1.1,36,2.3,16,3,14.1,3.7,1.4,1.7,8.5,77,26,0,0.1,0.3,0,15,0,0,9.6,13.8,No recurring injuries,Very Low,3.1,42,0.1,0,0,0,0,0,0,0,0,0,0,0.5,1.1
Jupiler Pro League,Beerschot,0.38,Arnold Vula,ST (C),,27,"6'2""",Weak,Very Strong,6.63,0,1240,4,310,0.3,4.32,4.32,-0.32,0.3,9%,0.09391304348,3.3,1.2,0.9,37%,0,0,0,0,0,0.85,0.1,87%,27.3,0.1,1.2,0.8,0.4,0.1,20,0.4,0.1,20,0.4,27,8,23.4,0.9,0.1,0.5,1.9,100,2,0,0,0,0,15,2,0,10.7,8.7,No recurring injuries,Above Average,10.2,51,0.1,0,0,0,0,0,0,0,0,0,0,1,1.2
Sky Bet Championship,Wrexham,0.46,Shea Lacey,AM (R),"M (R), AM (C)",19,"5'6""",Very Strong,Fairly Strong,7.13,1,1193,4,298.25,0.3,4.28,4.28,-0.28,0.3,11%,0.1126315789,2.9,1.2,0.8,42%,2,0,0,2,0.2,4.53,0.3,85%,47.8,0.2,1.9,3.5,6.5,1.1,17,4.1,0.8,20,3.9,9,4,18.4,4.5,1.1,1.7,10,71,21,1,0.2,0.7,0,14,0,0,11.2,16.4,No recurring injuries,Average,3.2,33,0,0,0,0,0,0,0,0,0,0,0,1.1,1.2
Bundesliga,Borussia Dortmund,0.62,Romano Schmid,AM (C),AM (RL),26,"5'6""",Reasonable,Very Strong,6.92,0,1042,4,260.5,0.3,2.52,2.52,1.48,0.2,14%,0.09,2.4,1,0.9,39%,0,0,0,3,0.3,4.08,0.4,88%,47.2,0.3,1.5,2.7,1.7,0.2,10,1.2,0.1,7,1.2,12,3,16.6,8.1,1.2,1.1,4.8,70,20,0,0,0.4,0,5,0,0,12,12.4,No recurring injuries,Below Average,2.6,33,0,0,0,0,0,0,0,0,0,0,0,1.9,1
